CLtot,CDtot,e,Xnp,Elevator
0.8016,0.10367,0.34,0.844437,34.22302
0.8016,0.10367,0.34,0.844437,34.22302
0.8016,0.10367,0.34,0.844437,34.22302
0.8016,0.10367,0.34,0.844437,34.22302
0.8016,0.10367,0.34,0.844437,34.22302
0.8016,0.10367,0.34,0.844437,34.22302
0.80186,0.10354,0.3409,0.841091,35.41016
0.80186,0.10354,0.3409,0.841091,35.41016
0.80186,0.10354,0.3409,0.841091,35.41016
0.80186,0.10354,0.3409,0.841091,35.41016
0.80186,0.10354,0.3409,0.841091,35.41016
0.80186,0.10354,0.3409,0.841091,35.41016
0.80212,0.10342,0.3417,0.837487,36.74549
0.80212,0.10342,0.3417,0.837487,36.74549
0.80212,0.10342,0.3417,0.837487,36.74549
0.80212,0.10342,0.3417,0.837487,36.74549
0.80212,0.10342,0.3417,0.837487,36.74549
0.80212,0.10342,0.3417,0.837487,36.74549
0.80238,0.10332,0.3425,0.833593,38.26112
0.80238,0.10332,0.3425,0.833593,38.26112
0.80238,0.10332,0.3425,0.833593,38.26112
0.80238,0.10332,0.3425,0.833593,38.26112
0.80238,0.10332,0.3425,0.833593,38.26112
0.80238,0.10332,0.3425,0.833593,38.26112
0.80264,0.10326,0.3431,0.829369,39.99991
0.80264,0.10326,0.3431,0.829369,39.99991
0.80264,0.10326,0.3431,0.829369,39.99991
0.80264,0.10326,0.3431,0.829369,39.99991
0.80264,0.10326,0.3431,0.829369,39.99991
0.80264,0.10326,0.3431,0.829369,39.99991
0.80291,0.10328,0.3435,0.82477,42.02068
0.80291,0.10328,0.3435,0.82477,42.02068
0.80291,0.10328,0.3435,0.82477,42.02068
0.80291,0.10328,0.3435,0.82477,42.02068
0.80291,0.10328,0.3435,0.82477,42.02068
0.80291,0.10328,0.3435,0.82477,42.02068
